adsh,tag,version,coreg,ddate,qtrs,uom,value,footnote
0000038009-18-000237,DerivativeNotionalAmount,invest/2013,,20180930,0,USD,1.05154E+11,
0000038009-18-000237,DerivativeNotionalAmount,invest/2013,,20171231,0,USD,94924000000,
0000037996-18-000084,DerivativeNotionalAmount,invest/2013,,20180930,0,USD,1.37924E+11,
0000037996-18-000084,DerivativeNotionalAmount,invest/2013,,20171231,0,USD,1.33452E+11,
0000050863-18-000029,DerivativeNotionalAmount,invest/2013,,20180930,0,USD,43654000000,
0000050863-18-000029,DerivativeNotionalAmount,invest/2013,,20171231,0,USD,38417000000,
0001628280-18-012970,DerivativeNotionalAmount,invest/2013,,20180930,0,USD,973000000,
0001628280-18-012970,DerivativeNotionalAmount,invest/2013,,20171231,0,USD,955000000,
0000092230-18-000078,DerivativeNotionalAmount,invest/2013,,20180930,0,USD,68400000000,
0000092230-18-000078,DerivativeNotionalAmount,invest/2013,,20171231,0,USD,75172000000,
0000784977-18-000050,DerivativeNotionalAmount,invest/2013,,20180930,0,USD,170000000,
0001193125-18-309015,DerivativeNotionalAmount,invest/2013,,20171231,0,USD,218700000,
0001193125-18-309015,DerivativeNotionalAmount,invest/2013,,20180930,0,USD,610200000,
0001122304-18-000153,DerivativeNotionalAmount,invest/2013,,20170930,0,USD,500000000,
0001701605-18-000103,DerivativeNotionalAmount,invest/2013,,20180930,0,USD,7200000000,
0001701605-18-000103,DerivativeNotionalAmount,invest/2013,,20171231,0,USD,10200000000,
0001144204-18-056205,DerivativeNotionalAmount,invest/2013,,20180930,0,USD,25100000,
0001090727-18-000039,DerivativeNotionalAmount,invest/2013,,20180930,0,SGD,41000000,
0001090727-18-000039,DerivativeNotionalAmount,invest/2013,,20180930,0,MXN,0,
0001090727-18-000039,DerivativeNotionalAmount,invest/2013,,20180930,0,GBP,1713000000,
0001090727-18-000039,DerivativeNotionalAmount,invest/2013,,20180930,0,EUR,4848000000,
0001090727-18-000039,DerivativeNotionalAmount,invest/2013,,20180930,0,CAD,1433000000,
0001090727-18-000039,DerivativeNotionalAmount,invest/2013,,20171231,0,SGD,11000000,
0001090727-18-000039,DerivativeNotionalAmount,invest/2013,,20171231,0,MXN,169000000,
0001090727-18-000039,DerivativeNotionalAmount,invest/2013,,20171231,0,GBP,1736000000,
0001090727-18-000039,DerivativeNotionalAmount,invest/2013,,20171231,0,EUR,4942000000,
0001090727-18-000039,DerivativeNotionalAmount,invest/2013,,20171231,0,CAD,1259000000,
0000098362-18-000108,DerivativeNotionalAmount,invest/2013,,20180930,0,USD,347600000,
0000098362-18-000108,DerivativeNotionalAmount,invest/2013,,20171231,0,USD,386900000,
0000808362-18-000023,DerivativeNotionalAmount,invest/2013,,20180930,0,USD,7200000000,
0000808362-18-000023,DerivativeNotionalAmount,invest/2013,,20171231,0,USD,10200000000,
0001056288-18-000040,DerivativeNotionalAmount,invest/2013,,20180630,0,GBP,250000000,
0001056288-18-000040,DerivativeNotionalAmount,invest/2013,,20180331,0,GBP,250000000,
0001289848-18-000035,DerivativeNotionalAmount,invest/2013,,20170630,0,USD,50000000,
0000049196-18-000063,DerivativeNotionalAmount,invest/2013,,20180930,0,USD,5727000000,
0000049196-18-000063,DerivativeNotionalAmount,invest/2013,,20171231,0,USD,8375000000,
0001564590-18-025661,DerivativeNotionalAmount,invest/2013,,20180930,0,USD,6550000000,
0000040545-18-000081,DerivativeNotionalAmount,invest/2013,,20180930,0,USD,1.34E+11,
0000354908-18-000089,DerivativeNotionalAmount,invest/2013,,20180930,0,USD,129792000,
0000354908-18-000089,DerivativeNotionalAmount,invest/2013,,20171231,0,USD,152984000,
0001558370-18-008039,DerivativeNotionalAmount,invest/2013,,20180930,0,EUR,530000000,
0001558370-18-008039,DerivativeNotionalAmount,invest/2013,,20180930,0,USD,622000000,
0000103730-18-000041,DerivativeNotionalAmount,invest/2013,,20180930,0,USD,0,
0000103730-18-000041,DerivativeNotionalAmount,invest/2013,,20171231,0,USD,100000000,
0001564590-18-025638,DerivativeNotionalAmount,invest/2013,,20171231,0,USD,326100000,
0001564590-18-025638,DerivativeNotionalAmount,invest/2013,,20180930,0,USD,460200000,
0001234006-18-000015,DerivativeNotionalAmount,invest/2013,,20180930,0,USD,135185000,
0001234006-18-000015,DerivativeNotionalAmount,invest/2013,,20171231,0,USD,143512000,
0001628280-18-013088,DerivativeNotionalAmount,invest/2013,,20171231,0,USD,1184800000,
0001628280-18-013088,DerivativeNotionalAmount,invest/2013,,20180930,0,USD,1583000000,
0000885725-18-000045,DerivativeNotionalAmount,invest/2013,,20180930,0,USD,8374000000,
0000885725-18-000045,DerivativeNotionalAmount,invest/2013,,20171231,0,USD,5923000000,
0000083246-18-000024,DerivativeNotionalAmount,invest/2013,,20180930,0,USD,5.43448E+12,
0000083246-18-000024,DerivativeNotionalAmount,invest/2013,,20171231,0,USD,4.79378E+12,
0000927003-18-000056,DerivativeNotionalAmount,invest/2013,,20171231,0,USD,16300000,
0000073124-18-000297,DerivativeNotionalAmount,invest/2013,,20180930,0,USD,3.16581E+11,
0000073124-18-000297,DerivativeNotionalAmount,invest/2013,,20171231,0,USD,3.37618E+11,
0001026214-18-000061,DerivativeNotionalAmount,invest/2013,,20180930,0,USD,8.82753E+11,
0001026214-18-000061,DerivativeNotionalAmount,invest/2013,,20171231,0,USD,1.0103E+12,
0001104659-18-064974,DerivativeNotionalAmount,invest/2013,,20171231,0,USD,40916600000,
0001104659-18-064974,DerivativeNotionalAmount,invest/2013,,20180930,0,USD,51892300000,
0000093751-18-000477,DerivativeNotionalAmount,invest/2013,,20180930,0,USD,10994000000,
0000093751-18-000477,DerivativeNotionalAmount,invest/2013,,20171231,0,USD,11047000000,
0001564590-18-025745,DerivativeNotionalAmount,invest/2013,,20171231,0,USD,708500000,
0001564590-18-025745,DerivativeNotionalAmount,invest/2013,,20180930,0,USD,1034000000,
0001628280-18-013201,DerivativeNotionalAmount,invest/2013,,20180930,0,USD,300000000,
0001156039-18-000013,DerivativeNotionalAmount,invest/2013,,20180930,0,USD,1653000000,
0001156039-18-000013,DerivativeNotionalAmount,invest/2013,,20171231,0,USD,2048000000,
0001193125-18-313971,DerivativeNotionalAmount,invest/2013,,20180930,0,USD,25310000000,
0001193125-18-313971,DerivativeNotionalAmount,invest/2013,,20171231,0,USD,23307000000,
0001559495-18-000021,DerivativeNotionalAmount,invest/2013,,20180630,0,USD,9634700000,
0001559495-18-000021,DerivativeNotionalAmount,invest/2013,,20171231,0,USD,8372600000,
0001559495-18-000021,DerivativeNotionalAmount,invest/2013,,20161231,0,USD,7087600000,
0001206774-18-003079,DerivativeNotionalAmount,invest/2013,,20180930,0,USD,109872000,
0001206774-18-003079,DerivativeNotionalAmount,invest/2013,,20171231,0,USD,100873000,
0001569187-18-000030,DerivativeNotionalAmount,invest/2013,,20180930,0,USD,452930000,
0001569187-18-000030,DerivativeNotionalAmount,invest/2013,,20171231,0,USD,401079000,
0001065088-18-000045,DerivativeNotionalAmount,invest/2013,,20180930,0,USD,8110000000,
